
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Alfa Romeo 4C', '', '40','1.8','6','160','2013','1');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Alfa Romeo GTV', '', '39','3.2','5','158','1993','11');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Alfa Romeo Spider', '', '34','2','1','118','1966','27');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Ariel Atom', '', '44','2','3','150','1996','18');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Aston Martin Vantage','', '36','6', '5','205','2005','9');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Audi R8', '', '23','5.2','4','196','2007','7');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('BAC Mono', '', '47','2.3','7','170','2011','3');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Bugatti Veyron', '', '46','8','9','267','2005','14');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Chevrolet Corvette', '', '24','6.2','8','190','1953','61');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Ferrari 458', '', '46','4.5','7','202','2009','5');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Ferrari F40', '', '49','2.9','4','201','1987','5');
INSERT INTO sportscars (`CardName`, `Info`, `Cool Factor`, `Engine Size`, `Innovation`, `Top Speed(mph)`, `Year Launched`, `Years In Production`) 
VALUES('Ford GT', '', '33','5.4','6','205','2004','2');
